COD,age,alpha_med,beta_med,delta_med,zcf_med,alpha_low,beta_low,delta_low,zcf_low,alpha_high,beta_high,delta_high,zcf_high
LRI,99,1.4185,0.0169,0.8338,3.7195,1.0253,0.0284,0.7111,8.4383,1.8273,0.0149,0.8674,0.4285
COPD,99,13.0831,0.0058,0.457,4.2605,13.3989,0.0021,0.5605,5.0025,18.6199,0.0073,0.4021,2.869
LC,99,6.671,0.0032,0.6874,3.6674,9.1679,0.0013,0.7303,5.0517,10.063,0.0036,0.6302,2.7335
DMT2,99,0.441,0.2605,0.7139,3.8226,0.3366,0.3162,0.3614,6.9194,0.5405,0.7648,0.437,2.9485
IHD,25,6.1391,0.0195,0.3827,3.9228,19.5386,0.0025,0.462,5.0685,3.4525,0.0649,0.3513,2.7748
IHD,30,4.9545,0.0236,0.376,3.9222,19.4965,0.0025,0.4526,5.1006,3.5005,0.0623,0.3377,2.8031
IHD,35,4.6431,0.0241,0.3664,3.9327,19.4827,0.0027,0.4251,5.1902,3.5344,0.0612,0.3197,2.8736
IHD,40,4.2841,0.0234,0.3641,3.9332,16.9475,0.0023,0.4469,5,4.0587,0.0471,0.3118,2.8383
IHD,45,4.108,0.0239,0.351,3.9428,17.3081,0.0025,0.4244,5,2.3005,0.0817,0.3185,2.8898
IHD,50,3.9754,0.0229,0.3444,3.9455,8.4581,0.0012,0.4962,5.4207,2.7598,0.0614,0.298,2.9175
IHD,55,3.957,0.0216,0.3341,3.9469,17.3411,0.0025,0.3869,5.3721,2.3017,0.0693,0.292,2.8915
IHD,60,3.954,0.0202,0.3236,3.9484,15.9773,0.0023,0.3917,5.1765,2.2747,0.0631,0.2846,2.8412
IHD,65,5.9149,0.0084,0.2894,3.9584,15.5855,0.0022,0.3793,5.3057,1.9856,0.0662,0.2748,2.9045
IHD,70,5.6811,0.0081,0.2791,4.5065,14.3277,0.002,0.3811,5.1661,1.2205,0.0957,0.2832,2.9012
IHD,75,5.3593,0.0074,0.2761,4.5439,13.8508,0.002,0.3692,5.3508,1.0794,0.0955,0.2749,2.8771
IHD,80,5.0083,0.0067,0.275,4.547,12.4171,0.0018,0.3684,5.0002,0.8691,0.101,0.2733,2.8613
IHD,85,5.8169,0.0076,0.2742,4.6168,11.5296,0.0017,0.3616,5,0.8223,0.0884,0.2598,2.857
IHD,90,5.2761,0.0067,0.2675,4.6358,10.8429,0.0016,0.344,5.1109,0.7386,0.0836,0.2423,2.9007
IHD,95,4.6038,0.0059,0.2601,4.652,9.0572,0.0013,0.3477,5.0001,0.5886,0.079,0.2333,2.8942
STROKE,25,9.3244,0.01,0.3219,3.9539,9.8782,0.0015,0.5135,5,2.0058,0.1081,0.2803,2.9204
STROKE,30,8.7988,0.0099,0.3173,3.9518,9.5893,0.0015,0.5092,5.0014,1.5551,0.1325,0.2906,2.9313
STROKE,35,8.3989,0.0099,0.3113,3.9519,7.7852,0.0012,0.5506,4.9984,1.9733,0.0975,0.2665,2.925
STROKE,40,7.8149,0.0097,0.3116,3.9565,8.867,0.0013,0.5052,5,1.4053,0.1355,0.2659,2.9371
STROKE,45,7.0302,0.0099,0.3073,3.9527,8.0214,0.0011,0.536,4.641,1.2786,0.1341,0.2681,2.9337
STROKE,50,7.1937,0.0091,0.3018,3.9567,8.4581,0.0012,0.4962,5.4207,1.5491,0.1055,0.2406,2.9726
STROKE,55,6.7548,0.009,0.296,3.9632,8.6907,0.0013,0.476,5,0.8329,0.1798,0.2756,2.9266
STROKE,60,6.3024,0.0086,0.2942,3.9586,7.9408,0.0011,0.4869,5,1.0856,0.1199,0.251,2.9333
STROKE,65,5.9149,0.0084,0.2894,3.9584,7.6953,0.0011,0.4851,5,0.8608,0.136,0.2513,2.9075
STROKE,70,5.6811,0.0081,0.2791,4.5065,7.1713,0.001,0.4834,5,0.6021,0.1787,0.2566,2.942
STROKE,75,5.3593,0.0074,0.2761,4.5439,6.9454,0.001,0.4683,5.0008,0.6067,0.1503,0.2447,2.9414
STROKE,80,5.0083,0.0067,0.275,4.547,6.9926,0.001,0.4427,5,0.577,0.1258,0.2396,2.9193
STROKE,85,4.743,0.0062,0.2652,4.5515,6.5234,0.0009,0.4338,5.0002,0.527,0.1254,0.2228,2.9463
STROKE,90,4.2845,0.0054,0.263,4.606,5.8145,0.0008,0.4264,5.0001,0.4355,0.1167,0.2222,2.9435
STROKE,95,3.765,0.0047,0.2562,4.6103,5.3345,0.0008,0.4155,5.0011,0.3811,0.1061,0.2083,2.9619
