measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,26,70+ years,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0566395181018,0.0735598568805,0.0417696554399
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,26,70+ years,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0640537900071,0.0820954570558,0.0473504631924
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,26,70+ years,509,Chronic obstructive pulmonary disease,3,Rate,2016,1889.82738785,2314.74315803,1517.08094652
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,26,70+ years,509,Chronic obstructive pulmonary disease,3,Rate,2016,1480.38777764,1771.05527712,1201.15189874
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,26,70+ years,509,Chronic obstructive pulmonary disease,3,Rate,2016,1658.38790551,1983.7582147800001,1365.76374998
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0287166893971,0.0366119602856,0.0216243717581
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,27,Age-standardized,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0211035372299,0.0267725281185,0.0158411680258
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,27,Age-standardized,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0244650727778,0.0308033744706,0.0183992072541
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,2016,283.932827411,340.361833622,232.04548922200001
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,2016,240.749644034,282.773246841,198.843676288
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,2016,260.354548925,303.374670753,216.110005804
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,28,<1 year,509,Chronic obstructive pulmonary disease,1,Number,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,28,<1 year,509,Chronic obstructive pulmonary disease,1,Number,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,28,<1 year,509,Chronic obstructive pulmonary disease,1,Number,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,28,<1 year,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,28,<1 year,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,28,<1 year,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,28,<1 year,509,Chronic obstructive pulmonary disease,3,Rate,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,28,<1 year,509,Chronic obstructive pulmonary disease,3,Rate,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,28,<1 year,509,Chronic obstructive pulmonary disease,3,Rate,2016,0.0,0.0,0.0
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,30,80 to 84,509,Chronic obstructive pulmonary disease,1,Number,2016,3563.38728912,4539.67086933,2804.82851349
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,30,80 to 84,509,Chronic obstructive pulmonary disease,1,Number,2016,3760.0725586,4662.7530191,2970.8491921
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,30,80 to 84,509,Chronic obstructive pulmonary disease,1,Number,2016,7323.45984772,8975.18020201,5929.04656585
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,30,80 to 84,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0774416438268,0.101692915646,0.0566124629438
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,30,80 to 84,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0583908412257,0.077946459367,0.0420007317822
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,30,80 to 84,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0663298202042,0.0861813578393,0.0489563687181
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,30,80 to 84,509,Chronic obstructive pulmonary disease,3,Rate,2016,2187.5705290700002,2786.9129566,1721.88979119
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,30,80 to 84,509,Chronic obstructive pulmonary disease,3,Rate,2016,1620.75413452,2009.84851121,1280.56467956
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,30,80 to 84,509,Chronic obstructive pulmonary disease,3,Rate,2016,1854.5677296099998,2272.84369904,1501.4513163200002
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,31,85 to 89,509,Chronic obstructive pulmonary disease,1,Number,2016,1897.61564573,2381.04529905,1468.54959978
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,31,85 to 89,509,Chronic obstructive pulmonary disease,1,Number,2016,2601.99689795,3220.44087516,2075.57330459
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,31,85 to 89,509,Chronic obstructive pulmonary disease,1,Number,2016,4499.61254369,5533.74215888,3640.71153568
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,31,85 to 89,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0734320838437,0.0983621389723,0.0529614993859
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,31,85 to 89,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0542537153615,0.0737834189796,0.0386949683017
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,31,85 to 89,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0609667571747,0.0813026384472,0.0438443471508
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,31,85 to 89,509,Chronic obstructive pulmonary disease,3,Rate,2016,2323.5212978199997,2915.45312448,1798.1545839699997
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,31,85 to 89,509,Chronic obstructive pulmonary disease,3,Rate,2016,1706.2162140799999,2111.75057203,1361.02269322
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,31,85 to 89,509,Chronic obstructive pulmonary disease,3,Rate,2016,1921.50859517,2363.12193962,1554.7246436100002
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,32,90 to 94,509,Chronic obstructive pulmonary disease,1,Number,2016,641.234971314,816.377965505,490.748263185
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,32,90 to 94,509,Chronic obstructive pulmonary disease,1,Number,2016,1266.59599775,1608.50809826,969.204400514
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,32,90 to 94,509,Chronic obstructive pulmonary disease,1,Number,2016,1907.83096906,2401.06220956,1479.53873108
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,32,90 to 94,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0704196241095,0.0956062707275,0.0490932759044
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,32,90 to 94,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0520111608645,0.0716367134933,0.0358354535581
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,32,90 to 94,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0570183907508,0.0780399682038,0.0403286030301
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,32,90 to 94,509,Chronic obstructive pulmonary disease,3,Rate,2016,2424.6991708200003,3086.96665745,1855.6643976999999
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,32,90 to 94,509,Chronic obstructive pulmonary disease,3,Rate,2016,1794.85603494,2279.3696431500002,1373.43112598
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,32,90 to 94,509,Chronic obstructive pulmonary disease,3,Rate,2016,1966.55078179,2474.9628462299997,1525.07643259
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,158,<20 years,509,Chronic obstructive pulmonary disease,1,Number,2016,238.904259657,361.207850699,135.037913782
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,158,<20 years,509,Chronic obstructive pulmonary disease,1,Number,2016,244.594216718,371.135232017,150.008013794
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,1,Number,2016,483.498476375,689.839848655,317.612821683
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,158,<20 years,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.00283296589271,0.00431347811543,0.00160533945931
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,158,<20 years,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.00266735814938,0.00401863839653,0.00159509182123
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.00274662059488,0.00404909052044,0.00174748063945
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,158,<20 years,509,Chronic obstructive pulmonary disease,3,Rate,2016,12.2295882141,18.4903495655,6.912635552059999
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,158,<20 years,509,Chronic obstructive pulmonary disease,3,Rate,2016,13.130792633699999,19.924018793600002,8.05302819079
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,3,Rate,2016,12.6694762038,18.0763952195,8.32264894917
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,159,10 to 24,509,Chronic obstructive pulmonary disease,1,Number,2016,410.484696228,611.538476045,246.237266348
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,159,10 to 24,509,Chronic obstructive pulmonary disease,1,Number,2016,394.603742591,567.311346745,256.237519305
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,159,10 to 24,509,Chronic obstructive pulmonary disease,1,Number,2016,805.088438819,1124.53182092,552.156134551
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,159,10 to 24,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.00404696805608,0.00598431086314,0.00245454751771
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,159,10 to 24,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0031789321388,0.00468007761722,0.0019802840273
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,159,10 to 24,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.00356870341729,0.00503516466541,0.00241991277405
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,159,10 to 24,509,Chronic obstructive pulmonary disease,3,Rate,2016,26.1686188197,38.9859047615,15.697757362099999
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,159,10 to 24,509,Chronic obstructive pulmonary disease,3,Rate,2016,26.2120068754,37.6843078673,17.020871555
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,159,10 to 24,509,Chronic obstructive pulmonary disease,3,Rate,2016,26.189866954699998,36.5814950959,17.9618722675
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,235,95 plus,509,Chronic obstructive pulmonary disease,1,Number,2016,115.411158686,152.065573288,83.7476590659
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,235,95 plus,509,Chronic obstructive pulmonary disease,1,Number,2016,367.954194578,488.270528705,263.728449037
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,235,95 plus,509,Chronic obstructive pulmonary disease,1,Number,2016,483.365353264,632.613151665,351.318435512
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,235,95 plus,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0725236098332,0.0992101393584,0.0489416430005
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,235,95 plus,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.055018632397,0.0768398292929,0.0370119384318
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,235,95 plus,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0583812792639,0.080698339131,0.0395761193267
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,235,95 plus,509,Chronic obstructive pulmonary disease,3,Rate,2016,2596.68302296,3421.3857397200004,1884.2729505900002
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,235,95 plus,509,Chronic obstructive pulmonary disease,3,Rate,2016,2015.41982567,2674.43643352,1444.53726201
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,235,95 plus,509,Chronic obstructive pulmonary disease,3,Rate,2016,2129.22104667,2786.65656905,1547.5552848900002
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,420,<70 years,509,Chronic obstructive pulmonary disease,1,Number,2016,22838.1569338,27957.9744451,18090.4486601
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,420,<70 years,509,Chronic obstructive pulmonary disease,1,Number,2016,20153.6178247,24803.5301612,16308.0925103
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,420,<70 years,509,Chronic obstructive pulmonary disease,1,Number,2016,42991.7747585,51375.0470157,34655.0634564
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,420,<70 years,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.027992678452,0.0361480123401,0.0210006693322
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,420,<70 years,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0214595342172,0.0278005660916,0.0157732787802
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,420,<70 years,509,Chronic obstructive pulmonary disease,2,Percent,2016,0.0244951151263,0.0312610944115,0.0185157921372
3,YLDs (Years Lived with Disability),89,Netherlands,1,Male,420,<70 years,509,Chronic obstructive pulmonary disease,3,Rate,2016,303.41034247,371.42833485899996,240.335909737
3,YLDs (Years Lived with Disability),89,Netherlands,2,Female,420,<70 years,509,Chronic obstructive pulmonary disease,3,Rate,2016,272.077326014,334.851946715,220.162069221
3,YLDs (Years Lived with Disability),89,Netherlands,3,Both,420,<70 years,509,Chronic obstructive pulmonary disease,3,Rate,2016,287.869547656,344.003280356,232.04758345599998
3,YLDs (Years Lived with Disability),94,Switzerland,1,Male,1,Under 5,322,Lower respiratory infections,1,Number,2015,7.11882191744,11.9215077521,3.82306644543
3,YLDs (Years Lived with Disability),94,Switzerland,2,Female,1,Under 5,322,Lower respiratory infections,1,Number,2015,4.39447108149,7.66456600203,2.20426979079
3,YLDs (Years Lived with Disability),94,Switzerland,3,Both,1,Under 5,322,Lower respiratory infections,1,Number,2015,11.5132929989,18.3985712402,6.47262942998
3,YLDs (Years Lived with Disability),94,Switzerland,1,Male,1,Under 5,322,Lower respiratory infections,2,Percent,2015,0.0012432471908,0.00184007449938,0.000767722143457
3,YLDs (Years Lived with Disability),94,Switzerland,2,Female,1,Under 5,322,Lower respiratory infections,2,Percent,2015,0.000850350810541,0.00134860490979,0.000467078591752
3,YLDs (Years Lived with Disability),94,Switzerland,3,Both,1,Under 5,322,Lower respiratory infections,2,Percent,2015,0.00105620165223,0.00150046034808,0.000692561961375
3,YLDs (Years Lived with Disability),94,Switzerland,1,Male,1,Under 5,322,Lower respiratory infections,3,Rate,2015,3.24352180773,5.43175132393,1.7418892524600003
3,YLDs (Years Lived with Disability),94,Switzerland,2,Female,1,Under 5,322,Lower respiratory infections,3,Rate,2015,2.1221632172,3.70134647461,1.06447856501
3,YLDs (Years Lived with Disability),94,Switzerland,3,Both,1,Under 5,322,Lower respiratory infections,3,Rate,2015,2.6991456396599998,4.3133118686000005,1.51742594449
3,YLDs (Years Lived with Disability),94,Switzerland,1,Male,2,Early Neonatal,322,Lower respiratory infections,1,Number,2015,0.219329391049,0.359199572975,0.120573831418
3,YLDs (Years Lived with Disability),94,Switzerland,2,Female,2,Early Neonatal,322,Lower respiratory infections,1,Number,2015,0.112151651698,0.19156583843,0.0579478508722
3,YLDs (Years Lived with Disability),94,Switzerland,3,Both,2,Early Neonatal,322,Lower respiratory infections,1,Number,2015,0.331481042747,0.538593572987,0.190177860696
3,YLDs (Years Lived with Disability),94,Switzerland,1,Male,2,Early Neonatal,322,Lower respiratory infections,2,Percent,2015,0.011312571302,0.0174000819291,0.00617861354233
3,YLDs (Years Lived with Disability),94,Switzerland,2,Female,2,Early Neonatal,322,Lower respiratory infections,2,Percent,2015,0.0073290524085,0.012709603039,0.00311171236286
